tissue	cluster	gene
Testis	0	CAPZA3
Testis	0	UBL4B
Testis	0	H1-7
Testis	0	TEX44
Testis	0	ACTRT2
Testis	0	PRM3
Testis	0	ACTL9
Testis	0	ACTL7A
Testis	0	PFN3
Testis	0	TSSK2
Testis	0	KIF2B
Testis	0	TSSK1B
Testis	0	BOD1L2
Testis	0	CCDC54
Testis	0	FSCB
Testis	0	H2AP
Testis	0	SPPL2C
Testis	0	OXCT2
Testis	0	RNF133
Testis	0	DDI1
Testis	0	SCP2D1
Testis	0	PGK2
Testis	0	ABHD16B
Testis	0	GARIN4
Testis	0	ACTL10
Testis	0	H2AL1Q
Testis	0	ZNRF4
Testis	0	ATXN3L
Testis	0	TSPYL5
Testis	1	GARIN4
Testis	1	TSSK2
Testis	1	PPP1R2C
Testis	1	KIF2B
Testis	1	DNAJB7
Testis	1	TEX44
Testis	1	ACTL7A
Testis	1	CAPZA3
Testis	1	PRM3
Testis	1	CCIN
Testis	1	ACTL7B
Testis	1	ACTRT2
Testis	1	SPPL2C
Testis	1	ACTL9
Testis	1	CCDC185
Testis	1	SCP2D1
Testis	1	CCDC54
Testis	1	UBL4B
Testis	1	TSSK1B
Testis	1	PFN3
Testis	1	H1-7
Testis	1	RNF133
Testis	1	OXCT2
Testis	1	ZNRF4
Testis	1	H2AP
Testis	1	TEX54
Testis	1	DDI1
Testis	1	FSCB
Testis	1	SPACA4
Testis	1	CITED4
Testis	1	ABHD16B
Testis	1	ACTL10
Testis	1	NRARP
Testis	1	TSPYL5
Testis	1	FRAT2
Testis	1	ATXN3L
Testis	1	H2AL1Q
Testis	1	ZCCHC13
Testis	1	MPC1L
Testis	1	DUSP21
Testis	1	GSPT2
Testis	1	PGK2
Testis	1	OTUD1
Testis	1	CCT8L2
Testis	1	SOWAHC
Testis	1	ACTRT1
Testis	1	KCTD11
Testis	1	SDHAF1
Testis	1	H3Y1
Testis	2	NKAPL
Testis	2	CETN1
Testis	2	RPL10L
Testis	2	CTAGE1
Testis	2	NACA2
Testis	2	PDHA2
Testis	2	GK2
Testis	2	HDGFL1
Testis	2	PPP1R2B
Testis	2	PRPS1L1
Testis	2	CCDC89
Testis	2	RBMXL2
Testis	2	ADO
Testis	2	SF3B5
Testis	2	H2BC1
Testis	2	ADAM30
Testis	2	MFSD6L
Testis	2	SLC25A2
Testis	2	PNMA1
Testis	2	BOD1L2
Testis	2	EID3
Testis	2	TKTL2
Testis	2	PAPOLB
Testis	2	PABPC3
Testis	2	MT-CO1
Testis	2	HSPB9
Testis	2	PRKACG
Testis	2	MT-CO3
Testis	2	RRAGA
Testis	2	TBCC
Testis	2	MT-ND2
Testis	2	TUSC1
Testis	2	DCAF4L1
Testis	2	CTAGE9
Testis	2	H3-5
Testis	2	PGK2
Testis	2	DNAJC30
Testis	2	CCDC87
Testis	2	NSMCE3
Testis	2	PABIR1
Testis	2	PCDHB7
Testis	2	SLC35G3
Testis	2	DOLK
Testis	2	MT-ND1
Testis	2	CALML3
Testis	2	CDC14C
Testis	2	GMCL2
Testis	2	TMEM185B
Testis	2	PURB
Testis	2	CTAGE6
Testis	2	SLC35G5
Testis	2	CCDC184
Testis	2	DDX53
Testis	2	TSPYL4
Testis	2	CTAGE15
Testis	2	FAM47B
Testis	2	RIMBP3C
Testis	2	H1-10
Testis	2	RBM15B
Testis	2	ADRA2A
Testis	2	HASPIN
Testis	2	EIF5AL1
Testis	2	SLC25A52
Testis	2	MT-ND3
Testis	2	FAM47C
Testis	2	PKDREJ
Testis	2	KIF4B
Testis	2	TIGD1
Testis	2	NUDT4B
Testis	2	PRR23A
Testis	2	MT-CO2
Testis	2	RNF26
Testis	2	SFT2D3
Testis	2	DCAF4L2
Testis	2	FAM47A
Testis	2	LRRC10B
Testis	2	EID2
Testis	2	H2AB1
Testis	2	KTI12
Testis	2	EXOC8
Testis	2	GPR150
Testis	2	IER5
Testis	2	KRTAP5-9
Testis	3	SPACA4
Testis	3	FTMT
Testis	3	TEX54
Testis	3	CCIN
Testis	3	CCDC185
Testis	3	SCP2D1
Testis	3	FRAT2
Testis	3	ZNRF4
Testis	3	DNAJB7
Testis	3	ACTL7B
Testis	3	CITED4
Testis	3	GARIN4
Testis	3	FANCF
Testis	3	CCDC89
Testis	3	ACTL10
Testis	3	CCDC182
Testis	3	CCDC54
Testis	3	NRARP
Testis	3	PLPP6
Testis	3	PPP1R2C
Testis	3	CCT8L2
Testis	3	OXCT2
Testis	3	MOCS3
Testis	3	RNF133
Testis	3	SOWAHC
Testis	3	TSSK2
Testis	3	TMDD1
Testis	3	TSSK1B
Testis	3	KIF2B
Testis	3	PFN3
Testis	3	DDI1
Testis	3	FSCB
Testis	3	GK2
Testis	3	ACTL7A
Testis	3	ZCCHC13
Testis	3	ABHD16B
Testis	3	ACTL9
Testis	3	OTUD1
Testis	3	ACTRT2
Testis	3	H1-7
Testis	3	H2AP
Testis	3	DDX53
Testis	3	GSPT2
Testis	3	MPC1L
Testis	3	TSPYL5
Testis	3	SF3B5
Testis	3	SPPL2C
Testis	3	ATXN3L
Testis	3	CCDC184
Testis	3	CTAGE1
Testis	3	UBL4B
Testis	3	PRM3
Testis	3	KBTBD7
Testis	3	CAPZA3
Testis	3	ELOA2
Testis	3	RPL10L
Testis	3	H3-5
Testis	3	CBLL2
Testis	3	MFSD6L
Testis	3	TSPYL4
Testis	3	NKAPL
Testis	3	PDHA2
Testis	3	TEX44
Testis	3	SMIM42
Testis	3	NACA2
Testis	3	H2AL1Q
Testis	3	FAM47B
Testis	3	PPP1R2B
Testis	3	KLF14
Testis	3	TAF1L
Testis	3	ADAM30
Testis	3	SLC35G3
Testis	3	LRRC10B
Testis	3	SDHAF1
Testis	3	FAM47A
Testis	4	FTMT
Testis	4	SPACA4
Testis	4	CCDC89
Testis	4	ZNRF4
Testis	4	CTAGE1
Testis	4	CCDC54
Testis	4	ACTL10
Testis	4	PPP1R2C
Testis	4	CCDC182
Testis	4	ACTL7B
Testis	4	DDI1
Testis	4	FANCF
Testis	4	CCIN
Testis	4	FSCB
Testis	4	TEX54
Testis	4	GK2
Testis	4	SMIM42
Testis	4	TMDD1
Testis	4	NKAPL
Testis	4	NRARP
Testis	4	PDHA2
Testis	4	DDX53
Testis	4	ELOA2
Testis	4	FRAT2
Testis	4	PLPP6
Testis	4	KIF2B
Testis	4	CBLL2
Testis	4	SLC35G3
Testis	4	H1-7
Testis	4	CCT8L2
Testis	4	MOCS3
Testis	4	MPC1L
Testis	4	CCDC185
Testis	4	GSPT2
Testis	4	FAM47B
Testis	4	CITED4
Testis	4	TSSK1B
Testis	4	ZCCHC13
Testis	4	RNF133
Testis	4	CTAGE6
Testis	4	RPL10L
Testis	5	DNAJB7
Testis	5	GARIN4
Testis	5	TEX54
Testis	5	CCDC185
Testis	5	SPACA4
Testis	5	CCIN
Testis	5	SCP2D1
Testis	5	ACTL7B
Testis	5	CITED4
Testis	5	PPP1R2C
Testis	5	NRARP
Testis	5	PFN3
Testis	5	FTMT
Testis	5	TSSK2
Testis	5	ZNRF4
Testis	5	OXCT2
Testis	5	CCDC54
Testis	5	RNF133
Testis	5	PRM3
Testis	5	PLPP6
Testis	5	FRAT2
Testis	5	SOWAHC
Testis	5	SPPL2C
Testis	5	TEX44
Testis	5	KIF2B
Testis	5	TSSK1B
Testis	5	ABHD16B
Testis	5	ACTL9
Testis	5	SDHAF1
Testis	5	CCT8L2
Testis	5	DDI1
Testis	5	ACTL7A
Testis	5	KCTD11
Testis	5	ACTL10
Testis	5	OTUD1
Testis	5	H2AP
Testis	5	CCDC182
Testis	5	ACTRT2
Testis	5	FANCF
Testis	5	CCDC184
Testis	5	SF3B5
Testis	5	H3Y2
Testis	5	TSPYL5
Testis	5	ATXN3L
Testis	5	CCDC89
Testis	5	DUSP21
Testis	5	MPC1L
Testis	5	TMDD1
Testis	5	H2AL1Q
Testis	5	HNRNPA0
Testis	5	CAPZA3
