tissue	cluster	gene
Olfactory_Epithelium	1	CH25H
Olfactory_Epithelium	1	NDN
Olfactory_Epithelium	1	TCIM
Olfactory_Epithelium	1	JUNB
Olfactory_Epithelium	1	MAFB
Olfactory_Epithelium	1	FAM43A
Olfactory_Epithelium	1	CD248
Olfactory_Epithelium	1	CEBPD
Olfactory_Epithelium	1	SOX4
Olfactory_Epithelium	1	HSPA1B
Olfactory_Epithelium	1	ADRA2A
Olfactory_Epithelium	1	KCTD12
Olfactory_Epithelium	1	MT-ND5
Olfactory_Epithelium	1	SMIM10
Olfactory_Epithelium	1	RRAGA
Olfactory_Epithelium	1	FZD2
Olfactory_Epithelium	1	MAGEF1
Olfactory_Epithelium	1	FZD7
Olfactory_Epithelium	1	MAGEH1
Olfactory_Epithelium	1	HNRNPA0
Olfactory_Epithelium	1	FOXC1
Olfactory_Epithelium	1	TUSC1
Olfactory_Epithelium	2	CCDC85B
Olfactory_Epithelium	2	CLEC14A
Olfactory_Epithelium	2	THBD
Olfactory_Epithelium	2	JUNB
Olfactory_Epithelium	2	KCTD12
Olfactory_Epithelium	2	TCIM
Olfactory_Epithelium	2	MT-ND1
Olfactory_Epithelium	2	FAM43A
Olfactory_Epithelium	2	IER5
Olfactory_Epithelium	2	SMIM10
Olfactory_Epithelium	2	ADRB2
Olfactory_Epithelium	2	HRCT1
Olfactory_Epithelium	2	MT-ND2
Olfactory_Epithelium	2	HSPA1B
Olfactory_Epithelium	2	TLNRD1
Olfactory_Epithelium	2	FOXC1
Olfactory_Epithelium	2	RRAGA
Olfactory_Epithelium	2	MT-ND5
Olfactory_Epithelium	2	LENG9
Olfactory_Epithelium	2	PURB
Olfactory_Epithelium	2	CITED4
Olfactory_Epithelium	2	PCBP1
Olfactory_Epithelium	2	IER5L
Olfactory_Epithelium	2	HEXIM1
Olfactory_Epithelium	2	NRARP
Olfactory_Epithelium	2	TMEM185B
Olfactory_Epithelium	2	SEPHS2
Olfactory_Epithelium	2	MT-ND4
Olfactory_Epithelium	2	IRF2BPL
Olfactory_Epithelium	2	ZCCHC3
Olfactory_Epithelium	2	CSTF2T
Olfactory_Epithelium	2	CEBPD
Olfactory_Epithelium	2	RRS1
Olfactory_Epithelium	2	MT-ND6
Olfactory_Epithelium	2	HNRNPA0
Olfactory_Epithelium	2	THAP11
Olfactory_Epithelium	2	MT-CYB
Olfactory_Epithelium	2	TUSC1
Olfactory_Epithelium	2	BLOC1S4
Olfactory_Epithelium	2	RHOB
Olfactory_Epithelium	2	CENPB
Olfactory_Epithelium	2	KTI12
Olfactory_Epithelium	2	BORCS6
Olfactory_Epithelium	2	B3GALT6
Olfactory_Epithelium	2	EID2
Olfactory_Epithelium	2	MAGEH1
Olfactory_Epithelium	2	PPP1R3D
Olfactory_Epithelium	2	FEM1A
Olfactory_Epithelium	2	MT-ND4L
Olfactory_Epithelium	3	TACSTD2
Olfactory_Epithelium	3	SOX2
Olfactory_Epithelium	3	CEBPD
Olfactory_Epithelium	3	SFN
